id,name,location
1,"OFICINA DE ATENCIÓN AL USUARIO OCCIDENTAL","Av. Occidental - Quito 170132 - Ecuador"
2,"OFICINA DE ATENCIÓN AL USUARIO PLATAFORMA NORTE","RGH8+5CF - Alfonso Pereira - Quito 170102 - Ecuador"
3,"OFICINA DE ATENCIÓN AL USUARIO PLATAFORMA SUR","PF43+VPF - Av. Amaru Ñan - Quito 170146 - Ecuador"
4,"OFICINA DE ATENCIÓN AL USUARIO RUMIÑAHUI","MGFX+7H9 - Sangolquí 171103 - Ecuador"
5,"OFICINA DE ATENCIÓN AL USUARIO TUMBACO","Eugenio Espejo - y - Quito 170184 - Ecuador"
6,"OFICINA DE ATENCIÓN AL USUARIO MEJÍA","FCJG+G6G - Machachi - Ecuador"
7,"OFICINA DE ATENCIÓN AL USUARIO CAYAMBE","Av. Víctor Cartagena - Cayambe - Ecuador"
